Geography,Geographic_Area_Name,Population 
1400000US11001005202,"Census Tract 52.02, District of Columbia, District of Columbia",2683
1400000US11001005203,"Census Tract 52.03, District of Columbia, District of Columbia",3470
1400000US11001005302,"Census Tract 53.02, District of Columbia, District of Columbia",2539
1400000US11001005303,"Census Tract 53.03, District of Columbia, District of Columbia",2595
1400000US11001005501,"Census Tract 55.01, District of Columbia, District of Columbia",1675
1400000US11001005502,"Census Tract 55.02, District of Columbia, District of Columbia",2565
1400000US11001005503,"Census Tract 55.03, District of Columbia, District of Columbia",1812
1400000US11001005601,"Census Tract 56.01, District of Columbia, District of Columbia",2450
1400000US11001005602,"Census Tract 56.02, District of Columbia, District of Columbia",4309
1400000US11001005801,"Census Tract 58.01, District of Columbia, District of Columbia",1872
1400000US11001005802,"Census Tract 58.02, District of Columbia, District of Columbia",1936
1400000US11001005900,"Census Tract 59, District of Columbia, District of Columbia",2408
1400000US11001006400,"Census Tract 64, District of Columbia, District of Columbia",2492
1400000US11001006500,"Census Tract 65, District of Columbia, District of Columbia",2874
1400000US11001006600,"Census Tract 66, District of Columbia, District of Columbia",2042
1400000US11001006700,"Census Tract 67, District of Columbia, District of Columbia",4266
1400000US11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",2298
1400000US11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",2302
1400000US11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",2816
1400000US11001006900,"Census Tract 69, District of Columbia, District of Columbia",2806
1400000US11001007000,"Census Tract 70, District of Columbia, District of Columbia",2702
1400000US11001007100,"Census Tract 71, District of Columbia, District of Columbia",3403
1400000US11001007201,"Census Tract 72.01, District of Columbia, District of Columbia",1893
1400000US11001007202,"Census Tract 72.02, District of Columbia, District of Columbia",3836
1400000US11001007203,"Census Tract 72.03, District of Columbia, District of Columbia",2885
1400000US11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",4910
1400000US11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",4523
1400000US11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",1562
1400000US11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",2615
1400000US11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",3799
1400000US11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",3957
1400000US11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",3416
1400000US11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",3530
1400000US11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",4394
1400000US11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",5224
1400000US11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",2634
1400000US11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",2760
1400000US11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",4931
1400000US11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",4155
1400000US11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",4046
